,City name,Country code,Latitude,Longitude,Temperature,Wind speed,Humidity,Cloudiness
397,yanam,in,16.73,82.22,20.34,1.66,81.0,0.0
398,nombre de dios,mx,23.85,-104.24,24.0,10.8,13.0,20.0
399,longview,us,32.5,-94.74,27.0,6.7,57.0,40.0
400,batticaloa,lk,7.71,81.69,25.24,0.56,100.0,48.0
401,lincoln,nz,53.23,-0.54,-4.0,9.3,92.0,75.0
402,nova cruz,br,-6.48,-35.43,27.0,2.1,78.0,20.0
403,energetik,ru,51.74,58.8,-24.57,1.51,58.0,0.0
405,husum,de,54.49,9.05,-5.0,6.2,73.0,8.0
406,launceston,au,-41.43,147.14,18.0,5.7,68.0,0.0
408,cubara,co,7.0,-72.11,21.49,0.86,84.0,0.0
409,kazachinskoye,ru,57.69,93.28,-30.82,1.16,34.0,0.0
410,aksu,cn,52.04,76.93,-15.0,7.0,92.0,75.0
411,narsaq,gl,60.91,-46.05,6.0,3.1,45.0,20.0
412,marshall,us,39.39,-87.69,14.0,2.1,100.0,90.0
413,canela,br,-29.36,-50.81,19.56,0.86,95.0,92.0
414,meadow lake,ca,54.13,-108.44,-1.0,4.6,58.0,40.0
415,mezen,ru,65.85,44.24,-5.32,3.96,84.0,92.0
416,aberystwyth,gb,52.41,-4.08,-5.34,8.96,100.0,8.0
417,puri,in,-7.54,112.45,26.0,2.1,94.0,20.0
418,codrington,ag,-28.95,153.24,28.44,1.56,75.0,0.0
420,bath,us,51.38,-2.36,-5.0,8.2,67.0,90.0
421,gryazovets,ru,58.88,40.25,-17.69,1.21,65.0,56.0
422,otane,nz,-39.89,176.62,22.26,3.01,58.0,48.0
423,mpika,zm,-11.84,31.4,16.46,2.41,97.0,92.0
424,sao francisco do sul,br,-26.24,-48.64,25.0,3.1,88.0,75.0
425,mikuni,jp,36.22,136.15,10.0,20.6,81.0,75.0
427,timiryazevskoye,ru,56.49,84.88,-17.49,3.66,73.0,68.0
428,cabo rojo,us,18.09,-67.15,23.0,5.1,73.0,75.0
429,lodeynoye pole,ru,60.73,33.55,-19.52,1.06,77.0,20.0
430,melendugno,it,40.27,18.34,3.0,3.6,69.0,0.0
432,chernyshevskiy,ru,63.01,112.47,-31.67,1.16,37.0,24.0
433,dubbo,au,-32.25,148.6,25.0,3.6,33.0,8.0
434,zabaykalsk,ru,49.64,117.33,-17.84,6.11,70.0,0.0
435,abu kamal,sy,34.45,40.92,2.94,1.61,80.0,0.0
